"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.050424881E0,9.300000221E-2,5.499999970E-2,-1.300000027E-2,1.088255502E-1
1.055439650E0,9.300000221E-2,5.499999970E-2,1.080000028E-1,1.527678009E-1
1.060454419E0,7.999999821E-2,5.499999970E-2,1.490000039E-1,1.778370064E-1
1.065469188E0,9.300000221E-2,2.700000070E-2,5.400000140E-2,1.108783144E-1
1.070483957E0,7.999999821E-2,2.700000070E-2,-8.100000024E-2,1.170042725E-1
1.075498726E0,6.599999964E-2,2.700000070E-2,-1.490000039E-1,1.651847486E-1
1.080513495E0,7.999999821E-2,2.700000070E-2,-1.220000014E-1,1.483677866E-1
1.085528274E0,6.599999964E-2,4.100000113E-2,-1.300000027E-2,7.877816990E-2
1.090543043E0,6.599999964E-2,4.100000113E-2,1.490000039E-1,1.680416651E-1
1.095557836E0,6.599999964E-2,2.800000086E-2,1.899999976E-1,2.030763381E-1
1.100572606E0,6.599999964E-2,1.400000043E-2,1.080000028E-1,1.273420613E-1
1.105587376E0,6.599999964E-2,0.000000000E0,-2.700000070E-2,7.130918588E-2
1.110602126E0,6.599999964E-2,0.000000000E0,-1.490000039E-1,1.629631895E-1
1.115616895E0,6.599999964E-2,1.400000043E-2,-1.490000039E-1,1.635634468E-1
1.120631655E0,6.599999964E-2,4.100000113E-2,0.000000000E0,7.769813412E-2
1.125646424E0,7.900000364E-2,4.100000113E-2,1.490000039E-1,1.735597933E-1
1.130661193E0,7.900000364E-2,2.800000086E-2,2.039999962E-1,2.205470450E-1
1.135675938E0,9.300000221E-2,0.000000000E0,1.220000014E-1,1.534046960E-1
1.140690707E0,6.599999964E-2,0.000000000E0,-2.700000070E-2,7.130918588E-2
1.145705476E0,6.599999964E-2,1.400000043E-2,-1.360000074E-1,1.518156842E-1
1.150720476E0,5.200000107E-2,2.800000086E-2,-1.220000014E-1,1.355433528E-1
1.155735247E0,5.200000107E-2,4.100000113E-2,0.000000000E0,6.621933407E-2
1.160749997E0,6.599999964E-2,2.700000070E-2,1.360000074E-1,1.535610693E-1
1.165764536E0,7.999999821E-2,2.700000070E-2,1.490000039E-1,1.712600389E-1
1.170779328E0,6.599999964E-2,1.400000043E-2,1.080000028E-1,1.273420613E-1
1.175794097E0,6.599999964E-2,1.400000043E-2,-2.700000070E-2,7.267048921E-2
1.180808862E0,7.999999821E-2,0.000000000E0,-1.360000074E-1,1.577846689E-1
1.185823631E0,6.599999964E-2,0.000000000E0,-1.360000074E-1,1.511687863E-1
1.190838400E0,7.999999821E-2,2.700000070E-2,-3.999999911E-2,9.342911581E-2
1.195853178E0,7.900000364E-2,2.700000070E-2,1.080000028E-1,1.365064146E-1
1.200868178E0,9.300000221E-2,2.700000070E-2,1.770000011E-1,2.017597602E-1
1.205882965E0,9.300000221E-2,1.400000043E-2,1.220000014E-1,1.540422045E-1
1.210897734E0,9.300000221E-2,1.400000043E-2,-1.300000027E-2,9.494208987E-2
1.215912503E0,9.300000221E-2,0.000000000E0,-1.360000074E-1,1.647574048E-1
1.220927272E0,9.300000221E-2,0.000000000E0,-1.630000025E-1,1.876645977E-1
1.225942042E0,9.300000221E-2,1.400000043E-2,-6.800000370E-2,1.160560249E-1
1.230956811E0,9.300000221E-2,2.700000070E-2,5.400000140E-2,1.108783144E-1
1.235971585E0,7.900000364E-2,4.100000113E-2,1.490000039E-1,1.735597933E-1
1.240986354E0,7.900000364E-2,1.400000043E-2,1.490000039E-1,1.692276625E-1
1.246001113E0,9.300000221E-2,0.000000000E0,1.300000027E-2,9.390420873E-2
1.251015882E0,7.900000364E-2,0.000000000E0,-1.220000014E-1,1.453444217E-1
1.256030421E0,6.599999964E-2,0.000000000E0,-1.490000039E-1,1.629631895E-1
1.261045414E0,6.599999964E-2,1.400000043E-2,-8.100000024E-2,1.054182148E-1
1.266060185E0,6.599999964E-2,4.100000113E-2,5.400000140E-2,9.462029485E-2
1.271074955E0,7.900000364E-2,2.700000070E-2,1.630000025E-1,1.831365650E-1
1.276089724E0,5.200000107E-2,1.400000043E-2,1.490000039E-1,1.584329552E-1
1.281104493E0,5.200000107E-2,0.000000000E0,5.400000140E-2,7.496666101E-2
1.286119262E0,6.599999964E-2,1.400000043E-2,-6.800000370E-2,9.579144256E-2
1.291133994E0,5.200000107E-2,2.700000070E-2,-1.220000014E-1,1.353403136E-1
1.296148763E0,6.100000069E-2,2.500000037E-2,-9.499999881E-2,1.156330397E-1
1.301163507E0,6.100000069E-2,3.900000080E-2,1.300000027E-2,7.355950077E-2
1.306178276E0,6.100000069E-2,3.900000080E-2,1.490000039E-1,1.656592929E-1
1.311193045E0,7.400000095E-2,2.500000037E-2,1.899999976E-1,2.054288180E-1
1.316207810E0,6.899999827E-2,2.400000021E-2,9.499999881E-2,1.198415602E-1
1.321222655E0,5.499999970E-2,9.999999776E-3,-3.999999911E-2,6.873863463E-2
1.326237426E0,5.499999970E-2,9.999999776E-3,-1.490000039E-1,1.591414501E-1
1.331252162E0,5.499999970E-2,3.700000048E-2,-1.220000014E-1,1.388452388E-1
1.336266854E0,5.200000107E-2,3.400000185E-2,1.300000027E-2,6.347440621E-2
1.341281635E0,6.499999762E-2,3.400000185E-2,1.220000014E-1,1.423551901E-1
1.346296404E0,6.499999762E-2,3.400000185E-2,1.770000011E-1,1.915985391E-1
1.351311174E0,6.499999762E-2,2.099999972E-2,1.080000028E-1,1.277888895E-1
1.356325929E0,6.100000069E-2,7.000000216E-3,-1.300000027E-2,6.276145388E-2
1.361340698E0,7.400000095E-2,1.999999955E-2,-1.220000014E-1,1.440833108E-1
1.366355467E0,4.600000009E-2,1.999999955E-2,-1.360000074E-1,1.449551724E-1
1.371370251E0,4.600000009E-2,1.999999955E-2,-1.300000027E-2,5.181698561E-2
1.376385097E0,5.600000173E-2,3.200000152E-2,1.080000028E-1,1.257934851E-1
1.381399863E0,5.600000173E-2,1.799999923E-2,1.770000011E-1,1.865180971E-1
