"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.303522950E-1,-1.316239871E-2,-2.720928192E-2,-2.341270447E-2,3.823281958E-2
7.353764620E-1,-3.894450516E-2,-5.423665047E-3,-1.823673248E-1,1.865581191E-1
7.403671390E-1,-5.278955027E-2,2.082771063E-2,-8.819675446E-2,1.048770597E-1
7.453645870E-1,-1.445927564E-2,1.117604971E-2,4.794597626E-2,5.131073356E-2
7.503519300E-1,-3.826340288E-2,3.718656301E-2,1.116838455E-1,1.237748352E-1
7.553462530E-1,-3.083347157E-2,4.635149240E-2,1.582622528E-1,1.677680079E-1
7.603419300E-1,-1.163571980E-2,6.499361992E-2,1.094341278E-1,1.278099720E-1
7.653333890E-1,-3.273570538E-2,3.116714954E-2,-5.504608154E-3,4.553370541E-2
7.703228680E-1,-2.535522729E-2,-2.133047581E-2,-5.059242249E-2,6.047702012E-2
7.753139620E-1,-8.636704646E-3,-4.018431902E-2,1.871776581E-2,4.516333600E-2
7.803049510E-1,3.396617947E-3,4.560947418E-4,-5.983638763E-2,5.993445020E-2
7.852994830E-1,4.135796428E-2,-1.145279408E-2,-3.083324432E-2,5.284256482E-2
7.902891180E-1,4.806632921E-2,1.717305183E-2,-1.156997681E-2,5.233689021E-2
7.952898470E-1,7.134398818E-2,3.368270397E-2,2.653694153E-2,8.323880382E-2
8.002798990E-1,6.127965823E-2,-2.358698845E-2,6.195068359E-2,9.027419196E-2
8.052568260E-1,-5.307107791E-2,5.139887333E-3,6.618785858E-2,8.499288427E-2
8.102656800E-1,-1.094032973E-1,5.738294125E-2,1.337623596E-2,1.242610442E-1
8.152548990E-1,-6.084594131E-2,-7.210791111E-3,6.139755249E-3,6.157857319E-2
8.202458370E-1,-3.876939416E-2,-3.098469973E-2,-6.043148041E-2,7.819898570E-2
8.252425030E-1,-2.163108252E-2,-4.722851515E-2,-6.229496002E-2,8.111164169E-2
8.302307330E-1,-8.318245411E-2,-5.848360062E-2,-5.938529968E-2,1.177551104E-1
8.352270870E-1,-1.370428801E-1,-2.233922482E-2,-7.314205170E-2,1.569380504E-1
8.402165660E-1,-1.073141769E-1,-8.004903793E-4,2.723789215E-2,1.107198090E-1
8.452146910E-1,-5.907878280E-2,4.906511307E-2,1.101522446E-1,1.342803220E-1
8.501747950E-1,1.028869022E-2,-8.230924606E-3,3.560161591E-2,3.796156374E-2
8.551933890E-1,1.281736139E-2,-1.521325111E-2,-1.000967026E-1,1.020542877E-1
8.601831800E-1,3.417402506E-2,5.625486374E-2,-2.085323334E-1,2.186737473E-1
8.651463050E-1,-1.380007528E-2,1.780128479E-2,-4.763221741E-2,5.268923944E-2
8.701675030E-1,-1.380729955E-2,-3.463637829E-2,1.214265823E-1,1.270225772E-1
